,CUI1,CUI2
2734,Acromioclavicular branch of suprascapular artery,Structure of transverse scapular artery
2735,Serratus anterior branch of left lateral thoracic artery,Left lateral thoracic artery
2736,Serratus anterior branch of right lateral thoracic artery,Right lateral thoracic artery
2737,Serratus anterior branch of lateral thoracic artery,Structure of lateral thoracic artery
2738,Left anterior ulnar recurrent artery,Structure of left ulnar artery
2739,Right anterior ulnar recurrent artery,Structure of right ulnar artery
2740,Anterior ulnar recurrent artery,Structure of ulnar artery
2741,Deep palmar arterial arch,Structure of radial artery
2742,Articular branch of descending genicular artery,Structure of descending genicular artery
2743,Articular branch of left descending genicular artery,Left descending genicular artery
2744,Articular branch of right descending genicular artery,Right descending genicular artery
2745,Axillary lymph node branch of left lateral thoracic artery,Left lateral thoracic artery
2746,Axillary lymph node branch of right lateral thoracic artery,Right lateral thoracic artery
2747,Axillary lymph node branch of lateral thoracic artery,Structure of lateral thoracic artery
2748,Cutaneous branch of suprasternal branch of left suprascapular artery,Suprasternal branch of left suprascapular artery
2749,Cutaneous branch of suprasternal branch of right suprascapular artery,Suprasternal branch of right suprascapular artery
2750,Cutaneous branch of suprasternal branch of suprascapular artery,Suprasternal branch of suprascapular artery
2751,Iliacus muscle branch of iliac branch of left iliolumbar artery,Iliac part of left iliolumbar artery
2752,Iliacus muscle branch of iliac branch of right iliolumbar artery,Iliac part of right iliolumbar artery
2753,Left dorsal carpal branch of ulnar artery,Structure of left ulnar artery
2754,Right dorsal carpal branch of ulnar artery,Structure of right ulnar artery
2755,Palmar carpal branch of left ulnar artery,Structure of left ulnar artery
2756,Palmar carpal branch of right ulnar artery,Structure of right ulnar artery
2757,Deep branch of left medial circumflex femoral artery,Left medial circumflex femoral artery
2758,Deep branch of medial circumflex femoral artery,Structure of medial circumflex femoral artery
2759,Deep branch of right medial circumflex femoral artery,Right medial circumflex femoral artery
2760,Descending branch of left medial circumflex femoral artery,Left medial circumflex femoral artery
2761,Descending branch of medial circumflex femoral artery,Structure of medial circumflex femoral artery
2762,Descending branch of right medial circumflex femoral artery,Right medial circumflex femoral artery
2763,Superficial branch of left medial circumflex femoral artery,Left medial circumflex femoral artery
2764,Superficial branch of right medial circumflex femoral artery,Right medial circumflex femoral artery
2765,Superficial branch of medial circumflex femoral artery,Structure of medial circumflex femoral artery
2766,Clavicular branch of left suprascapular artery,Left suprascapular artery
2767,Clavicular branch of right suprascapular artery,Right suprascapular artery
2768,Clavicular branch of suprascapular artery,Structure of transverse scapular artery
2769,Left deep palmar branch of ulnar artery,Structure of left ulnar artery
2770,Right deep palmar branch of ulnar artery,Structure of right ulnar artery
2771,Structure of deep palmar branch of ulnar artery,Structure of ulnar artery
2772,Saphenous branch of left descending genicular artery,Left descending genicular artery
2773,Saphenous branch of right descending genicular artery,Right descending genicular artery
2774,Saphenous branch of descending genicular artery,Structure of descending genicular artery
2775,Latissimus dorsi branch of left dorsal scapular artery,Left dorsal scapular artery
2776,Latissimus dorsi branch of right dorsal scapular artery,Right dorsal scapular artery
2777,Latissimus dorsi branch of dorsal scapular artery,Structure of dorsal scapular artery
2778,Trapezius branch of left dorsal scapular artery,Left dorsal scapular artery
2779,Trapezius branch of right dorsal scapular artery,Right dorsal scapular artery
2780,Trapezius branch of dorsal scapular artery,Structure of dorsal scapular artery
2781,Glenohumeral branch of left suprascapular artery,Left suprascapular artery
2782,Glenohumeral branch of right suprascapular artery,Right suprascapular artery
2783,Glenohumeral branch of suprascapular artery,Structure of transverse scapular artery
2784,Inferior branch of left lateral sacral artery,Left lateral sacral artery
2785,Inferior branch of right lateral sacral artery,Right lateral sacral artery
2786,Infraspinatus muscle branch of left suprascapular artery,Left suprascapular artery
2787,Infraspinatus muscle branch of right suprascapular artery,Right suprascapular artery
2788,Infraspinatus muscle branch of suprascapular artery,Structure of transverse scapular artery
2789,Sternoclavicular joint branch of left superior thoracic artery,Left superior thoracic artery
2790,Sternoclavicular joint branch of right superior thoracic artery,Right superior thoracic artery
2791,Sternoclavicular joint branch of superior thoracic artery,Structure of superior thoracic artery
2792,Lateral mammary branch of left lateral thoracic artery,Left lateral thoracic artery
2793,Lateral mammary branch of right lateral thoracic artery,Right lateral thoracic artery
2794,Lateral mammary branch of lateral thoracic artery,Structure of lateral thoracic artery
2795,Pectoralis major muscle branch of left lateral thoracic artery,Left lateral thoracic artery
2796,Pectoralis minor muscle branch of left lateral thoracic artery,Left lateral thoracic artery
2797,Pectoralis major muscle branch of right lateral thoracic artery,Right lateral thoracic artery
2798,Pectoralis major muscle branch of lateral thoracic artery,Structure of lateral thoracic artery
2799,Pectoralis minor muscle branch of right lateral thoracic artery,Right lateral thoracic artery
2800,Pectoralis minor muscle branch of lateral thoracic artery,Structure of lateral thoracic artery
2801,Subscapularis branch of lateral thoracic artery,Structure of lateral thoracic artery
2802,Pectoralis major branch of left superior thoracic artery,Left superior thoracic artery
2803,Subclavius muscle muscle branch of left suprascapular artery,Left suprascapular artery
2804,Sternocleidomastoid muscle branch of left suprascapular artery,Left suprascapular artery
2805,Scapular branch of left suprascapular artery,Left suprascapular artery
2806,Supraspinatus branch of left suprascapular artery,Left suprascapular artery
2807,Suprasternal branch of left suprascapular artery,Left suprascapular artery
2808,Pectoralis major branch of right superior thoracic artery,Right superior thoracic artery
2809,Pectoralis major branch of superior thoracic artery,Structure of superior thoracic artery
2810,Subclavius muscle muscle branch of right suprascapular artery,Right suprascapular artery
2811,Subclavius muscle muscle branch of suprascapular artery,Structure of transverse scapular artery
2812,Sternocleidomastoid muscle branch of right suprascapular artery,Right suprascapular artery
2813,Sternocleidomastoid muscle branch of suprascapular artery,Structure of transverse scapular artery
2814,Muscular branch of ulnar artery,Structure of ulnar artery
2815,Scapular branch of right suprascapular artery,Right suprascapular artery
2816,Supraspinatus branch of right suprascapular artery,Right suprascapular artery
2817,Suprasternal branch of right suprascapular artery,Right suprascapular artery
2818,Scapular branch of suprascapular artery,Structure of transverse scapular artery
2819,Supraspinatus branch of suprascapular artery,Structure of transverse scapular artery
2820,Suprasternal branch of suprascapular artery,Structure of transverse scapular artery
2821,Variant right first bronchial artery,Thoracic aorta
2822,Variant right second bronchial artery,Thoracic aorta
2823,Variant right third bronchial artery,Thoracic aorta
2824,Variant right bronchial artery,Thoracic aorta
2825,Variant right bronchial artery,Right third posterior intercostal artery
2826,Left common interosseous artery,Structure of left ulnar artery
2827,Right common interosseous artery,Structure of right ulnar artery
2828,Left descending genicular artery,Trunk of left femoral artery
2829,Right descending genicular artery,Trunk of right femoral artery
2830,Left superior genicular artery,Trunk of left popliteal artery
2831,Right superior genicular artery,Trunk of right popliteal artery
2832,Left lateral thoracic artery,Structure of left axillary artery
2833,Left lateral thoracic artery,Second part of left axillary artery
2834,Right lateral thoracic artery,Structure of right axillary artery
2835,Right lateral thoracic artery,Second part of right axillary artery
2836,Left posterior ulnar recurrent artery,Structure of left ulnar artery
2837,Left superior thoracic artery,Structure of left axillary artery
2838,Left superior thoracic artery,First part of left axillary artery
2839,Right posterior ulnar recurrent artery,Structure of right ulnar artery
2840,Posterior ulnar recurrent artery,Structure of ulnar artery
2841,Right superior thoracic artery,Structure of right axillary artery
2842,Right superior thoracic artery,First part of right axillary artery
2843,Lateral dorsal digital nerve of big toe,Structure of deep peroneal nerve
2844,Medial dorsal digital nerve of big toe,Structure of superficial peroneal nerve
2845,Medial proper digital nerve of big toe,Structure of medial plantar nerve
2846,Scrotal branch of left ilioinguinal nerve,Structure of left ilioinguinal nerve
2847,Scrotal branch of right ilioinguinal nerve,Structure of right ilioinguinal nerve
2848,Scrotal branch of ilioinguinal nerve,Structure of ilioinguinal nerve
2849,Fifth common plantar digital nerve,Structure of lateral plantar nerve
2850,First common plantar digital nerve,Structure of medial plantar nerve
2851,Fourth common plantar digital nerve,Structure of lateral plantar nerve
2852,Second common plantar digital nerve,Structure of medial plantar nerve
2853,Third common plantar digital nerve,Structure of medial plantar nerve
2854,Lateral dorsal digital nerve of fourth toe,Structure of superficial peroneal nerve
2855,Medial dorsal digital nerve of fourth toe,Structure of superficial peroneal nerve
2856,Lateral dorsal digital nerve of little toe,Structure of sural nerve
2857,Lateral dorsal digital nerve of second toe,Structure of superficial peroneal nerve
2858,Lateral dorsal digital nerve of third toe,Structure of superficial peroneal nerve
2859,Medial dorsal digital nerve of little toe,Structure of superficial peroneal nerve
2860,Medial dorsal digital nerve of second toe,Structure of deep peroneal nerve
2861,Medial dorsal digital nerve of third toe,Structure of superficial peroneal nerve
2862,Lateral proper plantar digital nerve of fourth toe,Structure of lateral plantar nerve
2863,Medial proper plantar digital nerve of fourth toe,Structure of medial plantar nerve
2864,Lateral proper plantar digital nerve of little toe,Structure of lateral plantar nerve
2865,Medial proper plantar digital nerve of little toe,Structure of lateral plantar nerve
2866,Proper plantar digital nerve of second toe,Structure of medial plantar nerve
2867,Proper plantar digital nerve of third toe,Structure of medial plantar nerve
2868,Medial root of median nerve,Structure of medial fasciculus of brachial plexus
2869,Accessory branch of left middle meningeal artery,Left middle meningeal artery
2870,Accessory branch of right middle meningeal artery,Right middle meningeal artery
2871,Adductor magnus branch of descending genicular artery,Structure of descending genicular artery
2872,Adductor magnus branch of left descending genicular artery,Left descending genicular artery
2873,Adductor magnus branch of right descending genicular artery,Right descending genicular artery
2874,Alar branch of left superior labial artery,Left superior labial artery
2875,Alar branch of right superior labial artery,Right superior labial artery
2876,Anastomotic branch of left anterior inferior cerebellar artery with left superior cerebellar artery,Left anterior inferior cerebellar artery
2877,Anastomotic branch of left middle meningeal artery with left lacrimal artery,Left middle meningeal artery
2878,Anastomotic branch of right anterior inferior cerebellar artery with right superior cerebellar artery,Right anterior inferior cerebellar artery
2879,Anastomotic branch of right middle meningeal artery with right lacrimal artery,Right middle meningeal artery
2880,Anterior ampullary nerve,Vestibular Nerve
2881,Anterior auricular branch of left superficial temporal artery,Left superficial temporal artery
2882,Anterior auricular branch of right superficial temporal artery,Right superficial temporal artery
2883,Anterior branch of posteromedial central branch of left posterior communicating artery,Left posterior communicating artery
2884,Anterior branch of posteromedial central branch of posterior communicating artery,Structure of posterior communicating artery
2885,Anterior branch of posteromedial central branch of right posterior communicating artery,Right posterior communicating artery
2886,Structure of anterior ciliary artery,Structure of muscular branch of ophthalmic artery
2887,Structure of anterior conjunctival artery,Structure of muscular branch of ophthalmic artery
2888,Anterior glandular branch of left superior thyroid artery,Left superior thyroid artery
2889,Anterior glandular branch of right superior thyroid artery,Right superior thyroid artery
2890,Anterior lateral nasal branch of anterior ethmoidal artery,Structure of anterior ethmoidal artery
2891,Anterior lateral nasal branch of left anterior ethmoidal artery,Left anterior ethmoidal artery
2892,Anterior lateral nasal branch of right anterior ethmoidal artery,Right anterior ethmoidal artery
2893,Structure of anterior meningeal artery,Structure of anterior ethmoidal artery
2894,Anterior meningeal branch of left anterior ethmoidal artery,Left anterior ethmoidal artery
2895,Anterior meningeal branch of left posterior ethmoidal nerve,Left posterior ethmoidal nerve
2896,Anterior meningeal branch of posterior ethmoidal nerve,Structure of posterior ethmoidal nerve
2897,Anterior meningeal branch of right anterior ethmoidal artery,Right anterior ethmoidal artery
2898,Anterior meningeal branch of right posterior ethmoidal nerve,Right posterior ethmoidal nerve
2899,Anterior perforating branch of anterior cerebral artery,Structure of anterior cerebral artery
2900,Anterior perforating branch of anterior cerebral artery,Anterior cerebral artery A1 segment
2901,Anterior perforating branch of left anterior cerebral artery,Structure of left anterior cerebral artery
2902,Anterior perforating branch of left anterior cerebral artery,Precommunicating part of left anterior cerebral artery
2903,Anterior perforating branch of right anterior cerebral artery,Structure of right anterior cerebral artery
2904,Anterior perforating branch of right anterior cerebral artery,Precommunicating part of right anterior cerebral artery
2905,Anterior septal branch of anterior ethmoidal artery,Structure of anterior ethmoidal artery
2906,Anterior septal branch of left anterior ethmoidal artery,Left anterior ethmoidal artery
2907,Anterior septal branch of right anterior ethmoidal artery,Right anterior ethmoidal artery
2908,Anterior temporal branch of lateral occipital artery,Posterior cerebral artery P3 segment
2909,Anterior temporal branch of left lateral occipital artery,Left lateral occipital artery
2910,Anterior temporal branch of left middle cerebral artery,Structure of left middle cerebral artery
2911,Anterior temporal branch of left middle cerebral artery,Inferior terminal branch of left middle cerebral artery
2912,Anterior temporal branch of middle cerebral artery,Structure of middle cerebral artery
2913,Anterior temporal branch of middle cerebral artery,Insular part of middle cerebral artery
2914,Anterior temporal branch of right lateral occipital artery,Right lateral occipital artery
2915,Anterior temporal branch of right middle cerebral artery,Structure of right middle cerebral artery
2916,Anterior temporal branch of right middle cerebral artery,Inferior terminal branch of right middle cerebral artery
2917,Anterior vagal branch to cardiac antrum,Anterior vagal trunk
2918,Anterior vagal branch to first part of duodenum,Hepatic branch of anterior vagal trunk
2919,Anterior vagal branch to head of pancreas,Hepatic branch of anterior vagal trunk
2920,Anterior vagal branch to hepatic plexus,Hepatic branch of anterior vagal trunk
2921,Anterior vagal branch to pylorus,Hepatic branch of anterior vagal trunk
2922,Anterolateral central branch of left middle cerebral artery,Structure of left middle cerebral artery
2923,Anterolateral central branch of left middle cerebral artery,Sphenoid part of left middle cerebral artery
2924,Anterolateral central branch of middle cerebral artery,Structure of middle cerebral artery
2925,Anterolateral central branch of right middle cerebral artery,Structure of right middle cerebral artery
2926,Anterolateral central branch of right middle cerebral artery,Sphenoid part of right middle cerebral artery
2927,Structure of anteromedial central branch of anterior communicating artery,Structure of anterior communicating artery
2928,Anteromedial central branch of precommunicating part of anterior cerebral artery,Structure of anterior cerebral artery
2929,Anteromedial central branch of precommunicating part of anterior cerebral artery,Structure of right anterior cerebral artery
2930,Anteromedial central branch of precommunicating part of left anterior cerebral artery,Structure of left anterior cerebral artery
2931,Anteromedial frontal branch of callosomarginal artery,Structure of callosomarginal branch of anterior cerebral artery
2932,Anteromedial frontal branch of left callosomarginal artery,Left callosomarginal artery
2933,Anteromedial frontal branch of right callosomarginal artery,Right callosomarginal artery
2934,Artery of left postcentral sulcus,Structure of left middle cerebral artery
2935,Artery of left postcentral sulcus,Superior terminal branch of left middle cerebral artery
2936,Artery of left precentral sulcus,Structure of left middle cerebral artery
2937,Artery of left precentral sulcus,Superior terminal branch of left middle cerebral artery
2938,Artery of left tuber cinereum,Left posterior communicating artery
2939,Artery of postcentral sulcus,Structure of middle cerebral artery
2940,Artery of postcentral sulcus,Insular part of middle cerebral artery
2941,Artery of precentral sulcus,Structure of middle cerebral artery
2942,Artery of precentral sulcus,Insular part of middle cerebral artery
2943,Artery of right postcentral sulcus,Structure of right middle cerebral artery
2944,Artery of right postcentral sulcus,Superior terminal branch of right middle cerebral artery
2945,Artery of right precentral sulcus,Structure of right middle cerebral artery
2946,Artery of right precentral sulcus,Superior terminal branch of right middle cerebral artery
2947,Artery of right tuber cinereum,Right posterior communicating artery
2948,Artery of tuber cinereum,Structure of posterior communicating artery
2949,Ascending branch to left first cervical anterior ramus,Anterior ramus of left second cervical nerve
2950,Ascending branch to right first cervical anterior ramus,Anterior ramus of right second cervical nerve
2951,Auricular branch of left occipital artery,Left occipital artery
2952,Auricular branch of left posterior auricular artery,Left posterior auricular artery
2953,Auricular branch of left vagus nerve,Left vagus nerve
2954,Auricular branch of posterior auricular nerve,Structure of posterior auricular nerve
2955,Auricular branch of right occipital artery,Right occipital artery
2956,Auricular branch of right posterior auricular artery,Right posterior auricular artery
2957,Auricular branch of right vagus nerve,Right vagus nerve
2958,Auricular branch of vagus nerve,Vagus nerve structure
2959,Auricular branch to skin of upper third of medial auricle,Structure of smaller occipital nerve
2960,Set of branches of anterior choroidal artery to amygdaloid body,Structure of anterior choroidal artery
2961,Branch of anterior choroidal artery to anterior perforated substance,Structure of anterior choroidal artery
2962,Branch of anterior choroidal artery to crus cerebri,Structure of anterior choroidal artery
2963,Branch of anterior choroidal artery to fimbria of hippocampus,Structure of anterior choroidal artery
2964,Branch of anterior choroidal artery to genu of internal capsule,Structure of anterior choroidal artery
2965,Branch of anterior choroidal artery to globus pallidus,Structure of anterior choroidal artery
2966,Branch of anterior choroidal artery to hippocampus,Structure of anterior choroidal artery
2967,Branch of anterior choroidal artery to hypothalamus,Structure of anterior choroidal artery
2968,Branch of anterior choroidal artery to lateral geniculate body,Structure of anterior choroidal artery
2969,Branch of anterior choroidal artery to lateral ventricle,Structure of anterior choroidal artery
2970,Branch of anterior choroidal artery to optic chiasm,Structure of anterior choroidal artery
2971,Branch of anterior choroidal artery to optic radiation,Structure of anterior choroidal artery
2972,Branch of anterior choroidal artery to optic tract,Structure of anterior choroidal artery
2973,Branch of anterior choroidal artery to posterior limb of internal capsule,Structure of anterior choroidal artery
2974,Branch of anterior choroidal artery to red nucleus,Structure of anterior choroidal artery
2975,Branch of anterior choroidal artery to retrolentiform limb of internal capsule,Structure of anterior choroidal artery
2976,Branch of anterior choroidal artery to substantia nigra,Structure of anterior choroidal artery
2977,Branch of anterior choroidal artery to tail of caudate nucleus,Structure of anterior choroidal artery
2978,Branch of anterior choroidal artery to tuber cinereum,Structure of anterior choroidal artery
2979,Branch of anterior ciliary artery to major circulus arteriosus of iris,Structure of anterior ciliary artery
2980,Branch of anterior ciliary artery to minor circulus arteriosus of iris,Structure of anterior ciliary artery
2981,Branch of auricular branch of left vagus nerve to floor of left external acoustic meatus,Auricular branch of left vagus nerve
2982,Branch of auricular branch of right vagus nerve to floor of right external acoustic meatus,Auricular branch of right vagus nerve
2983,Branch of auricular branch of vagus nerve to posterior wall of external acoustic meatus,Auricular branch of vagus nerve
2984,Nerve to platysma,Cervical branch of facial nerve
2985,Nerve to left platysma,Cervical branch of left facial nerve
2986,Nerve to right platysma,Cervical branch of right facial nerve
2987,Branch of external acoustic meatus nerve to tympanic membrane,External acoustic meatus nerve
2988,Branch of external laryngeal nerve to pharyngeal nerve plexus,External laryngeal nerve
2989,Branch of greater anterior gastric nerve to anterior part of fundus of stomach,Greater anterior gastric nerve
2990,Branch of greater anterior gastric nerve to coeliac plexus,Greater anterior gastric nerve
2991,Branch of greater palatine nerve to gingiva,Greater palatine nerve
2992,Branch of greater posterior gastric nerve to posterior part of body of stomach,Greater posterior gastric nerve
2993,Branch of hypoglossal nerve to ansa cervicalis,Descendens hypoglossi
2994,Nerve to genioglossus,Hypoglossal nerve structure
2995,Nerve to geniohyoid,Hypoglossal nerve structure
2996,Nerve to hyoglossus,Hypoglossal nerve structure
2997,Nerve to palatopharyngeus,Hypoglossal nerve structure
2998,Nerve to styloglossus,Hypoglossal nerve structure
2999,Nerve to superior belly of omohyoid,Descendens hypoglossi
3000,Branch of hypoglossal nerve to thyrohyoid,Hypoglossal nerve structure
3001,Branch of left anterior choroidal artery to fimbria of left fornix,Left anterior choroidal artery
3002,Branch of left anterior choroidal artery to genu of left internal capsule,Left anterior choroidal artery
3003,Branch of left anterior choroidal artery to left amygdaloid body,Left anterior choroidal artery
3004,Branch of left anterior choroidal artery to left anterior perforated substance,Left anterior choroidal artery
3005,Branch of left anterior choroidal artery to left crus cerebri,Left anterior choroidal artery
3006,Branch of left anterior choroidal artery to left globus pallidus,Left anterior choroidal artery
3007,Branch of left anterior choroidal artery to left hippocampus,Left anterior choroidal artery
3008,Branch of left anterior choroidal artery to left lateral geniculate body,Left anterior choroidal artery
3009,Branch of left anterior choroidal artery to left lateral ventricle,Left anterior choroidal artery
3010,Branch of left anterior choroidal artery to left optic chiasm,Left anterior choroidal artery
3011,Branch of left anterior choroidal artery to left optic radiation,Left anterior choroidal artery
3012,Branch of left anterior choroidal artery to left optic tract,Left anterior choroidal artery
3013,Branch of left anterior choroidal artery to left red nucleus,Left anterior choroidal artery
3014,Branch of left anterior choroidal artery to left substantia nigra,Left anterior choroidal artery
3015,Branch of left anterior choroidal artery to left tuber cinereum,Left anterior choroidal artery
3016,Branch of left anterior choroidal artery to posterior limb of left internal capsule,Left anterior choroidal artery
3017,Branch of left anterior choroidal artery to retrolentiform limb of left internal capsule,Left anterior choroidal artery
3018,Branch of left anterior inferior cerebellar artery to medulla oblongata,Left anterior inferior cerebellar artery
3019,Branch of left anterior inferior cerebellar artery to pons,Left anterior inferior cerebellar artery
3020,Branch of left buccal nerve to gingiva,Left buccal nerve
3021,Branch of left external laryngeal nerve to pharyngeal nerve plexus,Left external laryngeal nerve
3022,Branch of left greater palatine nerve to gingiva,Left greater palatine nerve
3023,Branch of left lesser palatine nerve to soft palate,Left maxillary nerve
3024,Left medial pterygoid nerve,Left mandibular nerve
3025,Branch of left mandibular nerve to left otic ganglion,Left mandibular nerve
3026,Nerve to left tensor tympani,Left mandibular nerve
3027,Nerve to left tensor veli palatini,Left mandibular nerve
3028,Branch of left masseteric nerve to left temporomandibular joint,Left masseteric nerve
3029,Branch of left medial superior cerebellar artery to middle cerebellum,Medial branch of left superior cerebellar artery
3030,Branch of left medial superior cerebellar artery to superior cerebellum,Medial branch of left superior cerebellar artery
3031,Branch of left middle cerebral artery to left angular gyrus,Structure of left middle cerebral artery
3032,Branch of left middle cerebral artery to left angular gyrus,Inferior terminal branch of left middle cerebral artery
3033,Nerve to left ciliary ganglion,Left oculomotor nerve
3034,Nerve to left levator palpebrae superioris,Superior branch of left oculomotor nerve
3035,Nerve to left superior rectus,Superior branch of left oculomotor nerve
3036,Branch of left posterior communicating artery to left oculomotor nerve,Left posterior communicating artery
3037,Branch of left posterior ethmoidal nerve to left ethmoidal sinus,Left posterior ethmoidal nerve
3038,Branch of left posterior ethmoidal nerve to left sphenoidal sinus,Left posterior ethmoidal nerve
3039,Nerve to left ceratocricoid,Left recurrent laryngeal nerve
3040,Nerve to left lateral crico-arytenoid,Left recurrent laryngeal nerve
3041,Nerve to left oblique arytenoid,Left recurrent laryngeal nerve
3042,Nerve to left posterior crico-arytenoid,Left recurrent laryngeal nerve
3043,Nerve to left thyroarytenoid,Left recurrent laryngeal nerve
3044,Nerve to left transverse arytenoid,Left recurrent laryngeal nerve
3045,Nerve to left vocalis,Left recurrent laryngeal nerve
3046,Branch of left recurrent laryngeal nerve to mucosa of larynx,Left recurrent laryngeal nerve
3047,Branch of lesser palatine nerve to soft palate,Lesser palatine nerve
3048,Nerve to left buccinator,Buccal branch of left facial nerve
3049,Branch of lower deep buccal branch of left facial nerve to left orbicularis oris,Buccal branch of left facial nerve
3050,Nerve to right buccinator,Buccal branch of right facial nerve
3051,Branch of lower deep buccal branch of right facial nerve to right orbicularis oris,Buccal branch of right facial nerve
3052,Nerve to medial pterygoid,Structure of mandibular nerve
3053,Branch of mandibular nerve to otic ganglion,Structure of mandibular nerve
3054,Nerve to tensor tympani,Structure of mandibular nerve
3055,Nerve to tensor veli palatini,Structure of mandibular nerve
3056,Nerve to risorius,Structure of facial nerve marginal mandibular branch
3057,Nerve to left risorius,Marginal mandibular branch of left facial nerve
3058,Nerve to right risorius,Marginal mandibular branch of right facial nerve
3059,Branch of masseteric nerve to temporomandibular joint,Structure of masseteric nerve
3060,Branch of middle cerebral artery to angular gyrus,Structure of middle cerebral artery
3061,Branch of middle cerebral artery to angular gyrus,Insular part of middle cerebral artery
3062,Structure of oculomotor nerve levator palpebrae branch,Superior ramus of oculomotor nerve
3063,Structure of oculomotor nerve rectus superior branch,Superior ramus of oculomotor nerve
3064,Branch of posterior communicating artery to oculomotor nerve,Structure of posterior communicating artery
3065,Branch of posterior ethmoidal nerve to ethmoidal sinus,Structure of posterior ethmoidal nerve
3066,Branch of posterior ethmoidal nerve to sphenoidal sinus,Structure of posterior ethmoidal nerve
3067,Nerve to ceratocricoid,Recurrent Laryngeal Nerve
3068,Nerve to lateral crico-arytenoid,Recurrent Laryngeal Nerve
3069,Branch of recurrent laryngeal nerve to mucosa of larynx,Recurrent Laryngeal Nerve
3070,Nerve to oblique arytenoid,Recurrent Laryngeal Nerve
3071,Nerve to posterior crico-arytenoid,Recurrent Laryngeal Nerve
3072,Nerve to thyroarytenoid,Recurrent Laryngeal Nerve
3073,Nerve to transverse arytenoid,Recurrent Laryngeal Nerve
3074,Nerve to vocalis,Recurrent Laryngeal Nerve
3075,Branch of right anterior choroidal artery to fimbria of right fornix,Right anterior choroidal artery
3076,Branch of right anterior choroidal artery to genu of right internal capsule,Right anterior choroidal artery
3077,Branch of right anterior choroidal artery to posterior limb of right internal capsule,Right anterior choroidal artery
3078,Branch of right anterior choroidal artery to retrolentiform limb of right internal capsule,Right anterior choroidal artery
3079,Branch of right anterior choroidal artery to right amygdaloid body,Right anterior choroidal artery
3080,Branch of right anterior choroidal artery to right anterior perforated substance,Right anterior choroidal artery
3081,Branch of right anterior choroidal artery to right crus cerebri,Right anterior choroidal artery
3082,Branch of right anterior choroidal artery to right globus pallidus,Right anterior choroidal artery
3083,Branch of right anterior choroidal artery to right hippocampus,Right anterior choroidal artery
3084,Branch of right anterior choroidal artery to right lateral geniculate body,Right anterior choroidal artery
3085,Branch of right anterior choroidal artery to right lateral ventricle,Right anterior choroidal artery
3086,Branch of right anterior choroidal artery to right optic chiasm,Right anterior choroidal artery
3087,Branch of right anterior choroidal artery to right optic radiation,Right anterior choroidal artery
3088,Branch of right anterior choroidal artery to right optic tract,Right anterior choroidal artery
3089,Branch of right anterior choroidal artery to right red nucleus,Right anterior choroidal artery
3090,Branch of right anterior choroidal artery to right substantia nigra,Right anterior choroidal artery
3091,Branch of right anterior choroidal artery to right tuber cinereum,Right anterior choroidal artery
3092,Branch of right anterior inferior cerebellar artery to medulla oblongata,Right anterior inferior cerebellar artery
3093,Branch of right anterior inferior cerebellar artery to pons,Right anterior inferior cerebellar artery
3094,Branch of right buccal nerve to gingiva,Right buccal nerve
3095,Branch of right external laryngeal nerve to pharyngeal nerve plexus,Right external laryngeal nerve
3096,Branch of right greater palatine nerve to gingiva,Right greater palatine nerve
3097,Branch of right lesser palatine nerve to soft palate,Right maxillary nerve
3098,Right medial pterygoid nerve,Right mandibular nerve
3099,Branch of right mandibular nerve to right otic ganglion,Right mandibular nerve
3100,Nerve to right tensor tympani,Right mandibular nerve
3101,Nerve to right tensor veli palatini,Right mandibular nerve
3102,Branch of right masseteric nerve to right temporomandibular joint,Right masseteric nerve
3103,Branch of right medial superior cerebellar artery to middle cerebellum,Medial branch of right superior cerebellar artery
3104,Branch of right medial superior cerebellar artery to superior cerebellum,Medial branch of right superior cerebellar artery
3105,Branch of right middle cerebral artery to right angular gyrus,Structure of right middle cerebral artery
3106,Branch of right middle cerebral artery to right angular gyrus,Inferior terminal branch of right middle cerebral artery
3107,Nerve to right ciliary ganglion,Right oculomotor nerve
3108,Nerve to right levator palpebrae superioris,Superior branch of right oculomotor nerve
3109,Nerve to right superior rectus,Superior branch of right oculomotor nerve
3110,Branch of right posterior communicating artery to right oculomotor nerve,Right posterior communicating artery
3111,Branch of right posterior ethmoidal nerve to right ethmoidal sinus,Right posterior ethmoidal nerve
3112,Branch of right posterior ethmoidal nerve to right sphenoidal sinus,Right posterior ethmoidal nerve
3113,Branch of right recurrent laryngeal nerve to mucosa of larynx,Right recurrent laryngeal nerve
3114,Nerve to right ceratocricoid,Right recurrent laryngeal nerve
3115,Nerve to right lateral crico-arytenoid,Right recurrent laryngeal nerve
3116,Nerve to right oblique arytenoid,Right recurrent laryngeal nerve
3117,Nerve to right posterior crico-arytenoid,Right recurrent laryngeal nerve
3118,Nerve to right thyroarytenoid,Right recurrent laryngeal nerve
3119,Nerve to right transverse arytenoid,Right recurrent laryngeal nerve
3120,Nerve to right vocalis,Right recurrent laryngeal nerve
3121,Nerve to corrugator supercilii,Facial nerve temporal branch
3122,Nerve to frontalis,Facial nerve temporal branch
3123,Branch of temporal branch of facial nerve to orbicularis oculi,Facial nerve temporal branch
3124,Nerve to auricularis superior,Facial nerve temporal branch
3125,Branch of temporal branch of left facial nerve to frontal part of epicranial aponeurosis,Temporal branch of left facial nerve
3126,Nerve to left corrugator supercilii,Temporal branch of left facial nerve
