,CUI1,CUI2
9763,Left pericardial artery,Left internal thoracic artery
9764,Lateral branch of dorsal branch of left second posterior intercostal artery,Dorsal branch of left second posterior intercostal artery
9765,Branch of right external laryngeal nerve to right inferior pharyngeal constrictor,Right external laryngeal nerve
9766,Interlobar branch of superior segmental renal artery,Lobar branch of superior segmental renal artery
9767,Medullary branch of right third posterior intercostal artery,Anterior radicular branch of right third posterior intercostal artery
9768,Collateral branch of right fifth posterior intercostal artery,Right fifth posterior intercostal artery
9769,Posterior branch of lateral cutaneous branch of right sixth posterior intercostal artery,Lateral cutaneous branch of right sixth posterior intercostal artery
9770,Lateral branch of posterior ramus of right seventh thoracic nerve to right longissimus thoracis,Lateral branch of posterior ramus of right seventh thoracic nerve
9771,Branch of temporal branch of left facial nerve to left orbicularis oculi,Temporal branch of left facial nerve
9772,Branch of temporal branch of facial nerve to orbicularis oculi,Facial nerve temporal branch
9773,Labial branch of right mental nerve,Right mental nerve
9774,Left mental nerve,Left inferior alveolar nerve
9775,Nerve to eighth levator costae,Lateral branch of posterior ramus of eighth thoracic nerve
9776,Medial branch of posterior ramus of right twelfth thoracic nerve to right longissimus thoracis,Medial branch of posterior ramus of right twelfth thoracic nerve
9777,Lateral cutaneous branch of medial branch of posterior ramus of eleventh thoracic nerve,Medial branch of posterior ramus of eleventh thoracic nerve
9778,External carotid artery structure,Common carotid artery
9779,Right pericardial artery,Right internal mammary artery
9780,Articular branch of dorsal branch of left third posterior intercostal artery,Medial branch of dorsal branch of left third posterior intercostal artery
9781,Muscular branch of lateral branch of dorsal branch of left eighth posterior intercostal artery,Lateral branch of dorsal branch of left eighth posterior intercostal artery
9782,Collateral branch of left ninth posterior intercostal artery,Left ninth posterior intercostal artery
9783,Descending branch of left lateral circumflex femoral artery,Left lateral circumflex femoral artery
9784,T7 branch to right semispinalis thoracis,Medial branch of posterior ramus of right seventh thoracic nerve
9785,Medial cutaneous branch of medial branch of posterior ramus of right seventh thoracic nerve,Medial branch of posterior ramus of right seventh thoracic nerve
9786,Medial cutaneous branch of medial branch of posterior ramus of right sixth thoracic nerve,Medial branch of posterior ramus of right sixth thoracic nerve
9787,T2 branch to left spinalis capitis,Medial branch of posterior ramus of left second thoracic nerve
9788,T2 branch to left multifidus,Medial branch of posterior ramus of left second thoracic nerve
9789,T2 branch to semispinalis thoracis,Medial branch of posterior ramus of second thoracic nerve
9790,T1 branch to left semispinalis thoracis,Medial branch of posterior ramus of left first thoracic nerve
9791,Ascending branch of meningeal branch of left eighth thoracic nerve,Meningeal branch of left eighth thoracic nerve
9792,Ascending branch of meningeal branch of left seventh thoracic nerve,Meningeal branch of left seventh thoracic nerve
9793,Transverse branch of meningeal branch of sixth thoracic nerve,Meningeal branch of sixth thoracic nerve
9794,T4 branch to left splenius cervicis,Lateral branch of posterior ramus of left fourth thoracic nerve
9795,T3 branch to right multifidus,Medial branch of posterior ramus of right third thoracic nerve
9796,Fourth common palmar digital branch of left median nerve,Medial common palmar digital branch of left median nerve
9797,C3 branch to right semispinalis capitis,Medial branch of posterior ramus of right third cervical nerve
9798,Nerve to left eleventh innermost intercostal muscle,Left eleventh intercostal nerve
9799,Articular branch of right eleventh intercostal nerve,Right eleventh intercostal nerve
9800,Anterior cutaneous branch of left ninth intercostal nerve,Left ninth intercostal nerve
9801,White communicating ramus of left ninth intercostal nerve,Left ninth intercostal nerve
9802,Nerve to right ninth internal intercostal muscle,Right ninth intercostal nerve
9803,Communicating branch of right seventh intercostal nerve,Right seventh intercostal nerve
9804,Gray communicating ramus of right seventh intercostal nerve,Right seventh intercostal nerve
9805,White communicating ramus of left sixth intercostal nerve,Left sixth intercostal nerve
9806,Nerve to right sixth external intercostal muscle,Right sixth intercostal nerve
9807,Anterior cutaneous branch of right fifth intercostal nerve,Right fifth intercostal nerve
9808,Articular branch of third intercostal nerve,Third intercostal nerve
9809,Nerve to fourth internal intercostal muscle,Fourth intercostal nerve
9810,Gray communicating ramus of sixth intercostal nerve,Sixth intercostal nerve
9811,Gray communicating ramus of eighth intercostal nerve,Eighth intercostal nerve
9812,Nerve to tenth external intercostal muscle,Tenth intercostal nerve
9813,Structure of apical lower lobe branch of right pulmonary artery,Interlobar portion of right pulmonary artery
9814,Articular branch of posterior ramus of eighth thoracic nerve,Posterior ramus of eighth thoracic nerve
9815,Articular branch of posterior ramus of left eighth thoracic nerve,Posterior ramus of left eighth thoracic nerve
